tipo_vetor,tamanho,algoritmo,execucao,tempo_ms
Aleatorio,1000,Bubble Sort,1,18.48655300000246
Aleatorio,1000,Bubble Sort,2,18.461096000010002
Aleatorio,1000,Bubble Sort,3,17.03048099989246
Aleatorio,1000,Bubble Sort,4,18.02045200020075
Aleatorio,1000,Bubble Sort,5,18.156211000132316
Aleatorio,1000,Heap Sort,1,0.7660679998480191
Aleatorio,1000,Heap Sort,2,0.7481349998670339
Aleatorio,1000,Heap Sort,3,0.7612650001647125
Aleatorio,1000,Heap Sort,4,0.7482539999728033
Aleatorio,1000,Heap Sort,5,0.7806600001458719
Aleatorio,3000,Bubble Sort,1,175.9634410000217
Aleatorio,3000,Bubble Sort,2,182.47522100000424
Aleatorio,3000,Bubble Sort,3,178.98549199981062
Aleatorio,3000,Bubble Sort,4,183.64007300033336
Aleatorio,3000,Bubble Sort,5,178.6279170000853
Aleatorio,3000,Heap Sort,1,3.0274239998107078
Aleatorio,3000,Heap Sort,2,3.3581059997231932
Aleatorio,3000,Heap Sort,3,3.2008060002226557
Aleatorio,3000,Heap Sort,4,2.9129920003470033
Aleatorio,3000,Heap Sort,5,2.853885000149603
Aleatorio,5000,Bubble Sort,1,519.4718809998449
Aleatorio,5000,Bubble Sort,2,511.60990200014567
Aleatorio,5000,Bubble Sort,3,511.6352430000006
Aleatorio,5000,Bubble Sort,4,566.2197249998826
Aleatorio,5000,Bubble Sort,5,507.723607999651
Aleatorio,5000,Heap Sort,1,5.598739000106434
Aleatorio,5000,Heap Sort,2,5.380875999890122
Aleatorio,5000,Heap Sort,3,5.591349000042101
Aleatorio,5000,Heap Sort,4,5.396722999648773
Aleatorio,5000,Heap Sort,5,5.359539999972185
Ordenado,1000,Bubble Sort,1,0.02197599997089128
Ordenado,1000,Bubble Sort,2,0.0218649997805187
Ordenado,1000,Bubble Sort,3,0.028509000003396068
Ordenado,1000,Bubble Sort,4,0.01999100004468346
Ordenado,1000,Bubble Sort,5,0.0210150001294096
Ordenado,1000,Heap Sort,1,0.870781000230636
Ordenado,1000,Heap Sort,2,0.8253870000771713
Ordenado,1000,Heap Sort,3,1.1663870000120369
Ordenado,1000,Heap Sort,4,1.0457630000928475
Ordenado,1000,Heap Sort,5,0.9312140000474756
Ordenado,3000,Bubble Sort,1,0.06914499999766122
Ordenado,3000,Bubble Sort,2,0.07240200011437992
Ordenado,3000,Bubble Sort,3,0.0689369999236078
Ordenado,3000,Bubble Sort,4,0.07583699971291935
Ordenado,3000,Bubble Sort,5,0.0735040002837195
Ordenado,3000,Heap Sort,1,3.011120999872219
Ordenado,3000,Heap Sort,2,2.9901739999331767
Ordenado,3000,Heap Sort,3,2.9547409999395313
Ordenado,3000,Heap Sort,4,3.0336600002556224
Ordenado,3000,Heap Sort,5,3.0543500001840584
Ordenado,5000,Bubble Sort,1,0.10783900006572367
Ordenado,5000,Bubble Sort,2,0.1121400000556605
Ordenado,5000,Bubble Sort,3,0.11738000011973782
Ordenado,5000,Bubble Sort,4,0.11030699988623383
Ordenado,5000,Bubble Sort,5,0.11324499973852653
Ordenado,5000,Heap Sort,1,5.9192710000388615
Ordenado,5000,Heap Sort,2,5.544973999803915
Ordenado,5000,Heap Sort,3,5.543050000142102
Ordenado,5000,Heap Sort,4,5.574971999976697
Ordenado,5000,Heap Sort,5,5.704162000256474
Inverso,1000,Bubble Sort,1,23.580244000186212
Inverso,1000,Bubble Sort,2,22.39024900018194
Inverso,1000,Bubble Sort,3,23.031730000184325
Inverso,1000,Bubble Sort,4,22.969514999658713
Inverso,1000,Bubble Sort,5,22.80628499966042
Inverso,1000,Heap Sort,1,0.7866370001465839
Inverso,1000,Heap Sort,2,0.8307869998134265
Inverso,1000,Heap Sort,3,0.9081170001081773
Inverso,1000,Heap Sort,4,0.8037189995775407
Inverso,1000,Heap Sort,5,0.74476700001469
Inverso,3000,Bubble Sort,1,221.70763000031002
Inverso,3000,Bubble Sort,2,221.22484700003042
Inverso,3000,Bubble Sort,3,225.5402900000263
Inverso,3000,Bubble Sort,4,222.50881999980265
Inverso,3000,Bubble Sort,5,225.45877199991082
Inverso,3000,Heap Sort,1,2.8545049999593175
Inverso,3000,Heap Sort,2,2.7075190000687144
Inverso,3000,Heap Sort,3,2.6033589997496165
Inverso,3000,Heap Sort,4,3.2580000001871667
Inverso,3000,Heap Sort,5,2.730379999775323
Inverso,5000,Bubble Sort,1,638.1872960000692
Inverso,5000,Bubble Sort,2,638.8547379997362
Inverso,5000,Bubble Sort,3,633.8028290001603
Inverso,5000,Bubble Sort,4,638.3298830000967
Inverso,5000,Bubble Sort,5,640.1725619998615
Inverso,5000,Heap Sort,1,4.947609000282682
Inverso,5000,Heap Sort,2,4.786597000020265
Inverso,5000,Heap Sort,3,4.7810320002099616
Inverso,5000,Heap Sort,4,4.977392000000691
Inverso,5000,Heap Sort,5,4.885393999757071
